run_id,mutation_scalar,use_ecm,valley_reaper,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s1.5_ecm0_top_fitness_15,1.5,0,top_fitness,4154544143,500,1,,"{""1"": 454}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm0_random_15,1.5,0,random,373181016,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_random_14,1.0,1,random,2066109211,500,1,,"{""1"": 462}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm0_top_fitness_16,0.25,0,top_fitness,2081470984,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_top_fitness_16,0.25,1,top_fitness,837358910,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_random_16,0.25,0,random,2142075410,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_random_16,0.25,1,random,1896593117,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_16,0.5,0,top_fitness,4084009272,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_16,0.5,1,top_fitness,2407074116,500,2,,"{""2"": 146, ""1"": 445}","{""2"": ""valley"", ""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm1_random_13,1.5,1,random,1986125124,500,1,,"{""1"": 450}","{""1"": ""valley""}","{""2"": 10, ""1"": 10, ""4"": 10, ""0"": 10, ""3"": 10}"
s0.5_ecm0_random_16,0.5,0,random,1014757920,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm1_top_fitness_15,1.5,1,top_fitness,1145461213,500,1,,"{""1"": 172}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_16,1.0,0,top_fitness,3724290656,500,1,,"{""2"": 202}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_random_16,1.0,0,random,2468436927,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_16,1.0,1,top_fitness,1898236695,500,1,,"{""2"": 184}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_random_16,0.5,1,random,148164092,500,2,,"{""3"": 398, ""1"": 402}","{""3"": ""valley"", ""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm1_random_14,1.5,1,random,2805217306,500,1,,"{""1"": 215}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm0_top_fitness_16,1.5,0,top_fitness,195178230,500,0,,{},{},"{""2"": 10, ""4"": 10, ""1"": 10, ""3"": 10, ""0"": 10}"
s1.0_ecm1_random_15,1.0,1,random,3257331847,500,1,,"{""1"": 331}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""0"": 10}"
s1.5_ecm0_random_16,1.5,0,random,3525718320,500,0,,{},{},"{""0"": 10, ""4"": 10, ""1"": 10, ""2"": 10, ""3"": 10}"
s0.25_ecm0_top_fitness_17,0.25,0,top_fitness,882898333,500,1,,"{""2"": 334}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm0_random_17,0.25,0,random,668553357,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_top_fitness_17,0.25,1,top_fitness,1058330001,500,2,,"{""2"": 139, ""1"": 332}","{""2"": ""valley"", ""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_17,0.5,0,top_fitness,2185441500,500,1,,"{""2"": 204}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_random_17,0.25,1,random,2465171718,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_random_17,0.5,0,random,3859661058,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_17,0.5,1,top_fitness,2680891983,500,1,,"{""0"": 462}","{""0"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_17,1.0,0,top_fitness,3064204706,500,1,,"{""1"": 435}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""0"": 10}"
s1.5_ecm1_random_15,1.5,1,random,821311002,500,0,,{},{},"{""0"": 10, ""3"": 10, ""4"": 10, ""1"": 10, ""2"": 10}"
s1.0_ecm0_random_17,1.0,0,random,65438804,500,1,,"{""1"": 450}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm1_top_fitness_16,1.5,1,top_fitness,2243316771,500,1,,"{""1"": 193}","{""1"": ""valley""}","{""2"": 10, ""1"": 10, ""0"": 10, ""3"": 10, ""4"": 10}"
s1.5_ecm0_top_fitness_17,1.5,0,top_fitness,1730500984,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_random_17,0.5,1,random,1351736204,500,1,,"{""4"": 427}","{""4"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm0_random_17,1.5,0,random,2177082064,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm1_top_fitness_18,0.25,1,top_fitness,3362725905,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_17,1.0,1,top_fitness,1659523009,500,1,,"{""1"": 180}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm0_top_fitness_18,0.25,0,top_fitness,787606300,500,1,,"{""2"": 299}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_random_16,1.0,1,random,2797012144,500,1,,"{""0"": 407}","{""0"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_random_18,0.25,0,random,660710283,500,1,,"{""1"": 344}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_18,0.5,0,top_fitness,1290833237,500,1,,"{""3"": 282}","{""3"": ""valley""}","{""2"": 10, ""3"": 10, ""4"": 10, ""0"": 10, ""1"": 10}"
s0.25_ecm1_random_18,0.25,1,random,2720378829,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm1_top_fitness_17,1.5,1,top_fitness,3443626799,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_random_18,0.5,0,random,3993903821,500,1,,"{""3"": 452}","{""3"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_18,0.5,1,top_fitness,2036549262,500,1,,"{""1"": 399}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_18,1.0,0,top_fitness,2252909753,500,1,,"{""2"": 308}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_random_18,1.0,0,random,2182081322,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_random_18,0.5,1,random,601540858,500,2,,"{""1"": 213, ""4"": 383}","{""1"": ""valley"", ""4"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_18,1.0,1,top_fitness,1259225102,500,1,,"{""2"": 226}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm0_top_fitness_18,1.5,0,top_fitness,2517749586,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm0_random_18,1.5,0,random,209841321,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_random_17,1.0,1,random,3881377880,500,2,,"{""1"": 357, ""3"": 447}","{""1"": ""valley"", ""3"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm1_top_fitness_19,0.25,1,top_fitness,671826546,500,1,,"{""2"": 221}","{""2"": ""valley""}","{""2"": 10, ""1"": 10, ""3"": 10, ""4"": 10, ""0"": 10}"
s0.25_ecm0_top_fitness_19,0.25,0,top_fitness,4125544921,500,1,,"{""2"": 176}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm1_random_16,1.5,1,random,515749928,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm0_random_19,0.25,0,random,3143959644,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_19,0.5,0,top_fitness,2389091033,500,1,,"{""2"": 165}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_random_19,0.25,1,random,3718218921,500,0,,{},{},"{""2"": 10, ""4"": 10, ""1"": 10, ""0"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_19,0.5,1,top_fitness,2986315386,500,1,,"{""2"": 165}","{""2"": ""valley""}","{""0"": 10, ""4"": 10, ""2"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm1_top_fitness_18,1.5,1,top_fitness,2876542042,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_random_19,0.5,0,random,2117955061,500,1,,"{""3"": 431}","{""3"": ""valley""}","{""2"": 10, ""1"": 10, ""3"": 10, ""4"": 10, ""0"": 10}"
s1.0_ecm0_top_fitness_19,1.0,0,top_fitness,3345620348,500,1,,"{""2"": 369}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_random_19,1.0,0,random,3566253409,500,2,,"{""2"": 325, ""3"": 454}","{""2"": ""valley"", ""3"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_19,1.0,1,top_fitness,2678514825,500,1,,"{""1"": 317}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_random_18,1.0,1,random,1408576031,500,2,,"{""1"": 412, ""0"": 487}","{""1"": ""valley"", ""0"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm0_top_fitness_19,1.5,0,top_fitness,4148684211,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_random_19,0.5,1,random,2743807999,500,2,,"{""1"": 404, ""2"": 456}","{""1"": ""valley"", ""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm0_random_19,1.5,0,random,4012229424,500,0,,{},{},"{""2"": 10, ""4"": 10, ""1"": 10, ""3"": 10, ""0"": 10}"
s1.5_ecm1_top_fitness_19,1.5,1,top_fitness,1760948698,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm1_random_17,1.5,1,random,1203746406,500,1,,"{""1"": 323}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm1_random_18,1.5,1,random,3541960901,500,1,,"{""1"": 408}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""3"": 10, ""4"": 10, ""1"": 10}"
s1.0_ecm1_random_19,1.0,1,random,871460516,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm1_random_19,1.5,1,random,2764698973,500,1,,"{""1"": 306}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
