run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s1.5_ecm0_random_vc200_12,1.5,0,random,200,4255191227,500,0,,{},{},"{""2"": 10, ""1"": 10, ""4"": 10, ""0"": 10, ""3"": 10}"
s0.25_ecm1_top_fitness_vc200_13,0.25,1,top_fitness,200,3286408975,500,1,,"{""2"": 286}","{""2"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_top_fitness_vc200_13,0.25,0,top_fitness,200,455864882,500,1,,"{""4"": 247}","{""4"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_random_vc200_13,0.25,0,random,200,1043578335,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm1_random_vc200_13,0.25,1,random,200,4191342101,500,2,,"{""1"": 384, ""3"": 422}","{""1"": ""in_situ"", ""3"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm1_random_vc200_10,1.5,1,random,200,1231689749,500,1,,"{""1"": 473}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc200_13,0.5,0,top_fitness,200,4044520495,500,1,,"{""2"": 156}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_random_vc200_13,0.5,0,random,200,978698705,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc200_13,0.5,1,top_fitness,200,382046614,500,2,,"{""2"": 158, ""1"": 302}","{""2"": ""valley"", ""1"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_vc200_13,1.0,0,top_fitness,200,549315278,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
